Player1_ID,Player2_ID,Distance
4,5,936.73
4,6,412.17
4,7,674.06
4,8,757.74
4,9,303.92
4,10,316.03
4,11,722.96
4,13,240.00
4,14,167.71
5,6,692.31
5,7,339.51
5,8,280.03
5,9,1085.48
5,10,927.18
5,11,263.77
5,13,977.09
5,14,986.89
6,7,359.87
6,8,438.51
6,9,414.48
6,10,242.32
6,11,431.74
6,13,316.16
6,14,358.80
7,8,84.38
7,9,767.44
7,10,600.55
7,11,76.06
7,13,662.48
7,14,686.07
8,9,849.10
8,10,680.41
8,11,61.33
8,13,744.99
8,14,770.00
9,10,176.14
9,11,834.64
9,13,109.59
9,14,140.66
10,11,670.52
10,13,101.32
10,14,176.60
11,13,728.25
11,14,747.25
13,14,80.41
