Player1_ID,Player2_ID,Distance
1,3,431.15
1,4,685.05
1,5,251.53
1,6,949.84
1,7,1237.17
1,8,1106.45
1,11,281.60
1,13,570.60
1,14,1045.97
1,16,284.81
1,18,1297.21
1,25,670.86
1,33,173.10
1,49,326.27
1,51,102.24
1,57,111.88
3,4,286.15
3,5,197.95
3,6,520.01
3,7,806.05
3,8,685.96
3,11,188.92
3,13,174.62
3,14,622.25
3,16,229.94
3,18,872.63
3,25,293.97
3,33,286.54
3,49,206.81
3,51,532.22
3,57,540.78
4,5,479.15
4,6,304.11
4,7,592.82
4,8,555.13
4,11,405.35
4,13,116.09
4,14,370.81
4,16,417.31
4,18,619.43
4,25,52.33
4,33,517.32
4,49,375.70
4,51,787.04
4,57,796.91
5,6,714.55
5,7,996.34
5,8,855.93
5,11,156.68
5,13,363.82
5,14,819.70
5,16,202.55
5,18,1069.60
5,25,478.94
5,33,165.47
5,49,218.52
5,51,347.34
5,57,354.60
6,7,292.26
6,8,284.70
6,11,683.12
6,13,395.90
6,14,128.22
6,16,705.02
6,18,360.03
6,25,347.36
6,33,793.45
6,49,665.76
6,51,1051.52
6,57,1060.32
7,8,250.71
7,11,974.40
7,13,688.15
7,14,244.81
7,16,997.18
7,18,180.71
7,25,632.05
7,33,1084.06
7,49,958.02
7,51,1338.20
7,57,1346.64
8,11,871.15
8,13,616.85
8,14,345.58
8,16,904.33
8,18,424.38
8,25,605.08
8,33,972.49
8,49,870.57
8,51,1203.22
8,57,1210.28
11,13,293.00
11,14,771.26
11,16,50.70
11,18,1022.04
11,25,389.31
11,33,112.07
11,49,63.06
11,51,382.83
11,57,393.02
13,14,478.38
13,16,310.06
13,18,729.04
13,25,119.60
13,33,405.01
13,49,270.08
13,51,672.76
13,57,682.47
14,16,787.03
14,18,251.24
14,25,402.62
14,33,883.14
14,49,745.88
14,51,1148.18
14,57,1157.50
16,18,1036.62
16,25,395.22
16,33,112.29
16,49,42.58
16,51,382.64
16,57,393.41
18,25,647.15
18,33,1134.01
18,49,995.13
18,51,1399.42
18,57,1408.74
25,33,500.10
25,49,352.82
25,51,772.11
25,57,782.33
33,49,153.24
33,51,272.62
33,57,283.11
49,51,424.75
49,57,435.45
51,57,11.40
